test_id,priority,layer,owner,result,defect_id,firmware_master_hash,firmware_sensor_hash,dashboard_hash,evidence_path,notes
SF-HW-001,CRITICAL,HW,TBD,PASS,,881195f,881195f,881195f,TBD (attach artifact),User-reported pass on 2026-03-31
SF-HW-002,CRITICAL,HW,TBD,PASS,,881195f,881195f,881195f,TBD (attach artifact),User-reported pass on 2026-03-31
SF-HW-003,CRITICAL,HW,TBD,PASS,,881195f,881195f,881195f,TBD (attach artifact),User-reported pass on 2026-03-31
SF-HW-004,HIGH,HW,TBD,PASS,,881195f,881195f,881195f,TBD (attach artifact),User-reported pass on 2026-03-31
SF-HW-005,CRITICAL,HW,TBD,PASS,,881195f,881195f,881195f,TBD (attach artifact),User-reported pass on 2026-03-31
SF-HW-006,HIGH,HW,TBD,PASS,,881195f,881195f,881195f,TBD (attach artifact),User-reported pass on 2026-03-31
SF-SN-001,CRITICAL,SN,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-SN-002,HIGH,SN,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-SN-003,HIGH,SN,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-SN-004,CRITICAL,SN,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-SN-005,HIGH,SN,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-SN-006,HIGH,SN,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-RS-001,CRITICAL,RS,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-RS-002,CRITICAL,RS,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-RS-003,HIGH,RS,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-RS-004,HIGH,RS,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-RS-005,HIGH,RS,TBD,NOT_RUN,,881195f,881195f,881195f,,
SF-RS-006,CRITICAL,RS,TBD,NOT_RUN,,881195f,881195f,881195f,,
