"test_id","priority","module","wave","attempt","result","defect_id","owner","executed_at","evidence_path","notes"
"FW-BOOT-001","P1","BOOT","B","1","NOT_RUN","","TBD","","",""
"FW-BOOT-002","P1","BOOT","B","1","NOT_RUN","","TBD","","",""
"FW-BOOT-003","P2","BOOT","C","1","NOT_RUN","","TBD","","",""
"FW-BOOT-004","P1","BOOT","B","1","NOT_RUN","","TBD","","",""
"FW-BOOT-005","P2","BOOT","C","1","NOT_RUN","","TBD","","",""
"FW-BOOT-006","P2","BOOT","C","1","NOT_RUN","","TBD","","",""
"FW-BOOT-007","P2","BOOT","C","1","NOT_RUN","","TBD","","",""
"FW-BOOT-008","P2","BOOT","C","1","NOT_RUN","","TBD","","",""
"FW-NVS-001","P2","NVS","C","1","NOT_RUN","","TBD","","",""
"FW-NVS-002","P2","NVS","C","1","NOT_RUN","","TBD","","",""
"FW-NVS-003","P2","NVS","C","1","NOT_RUN","","TBD","","",""
"FW-NVS-004","P2","NVS","C","1","NOT_RUN","","TBD","","",""
"FW-NVS-005","P3","NVS","D","1","NOT_RUN","","TBD","","",""
"FW-SM-001","P1","SM","B","1","NOT_RUN","","TBD","","",""
"FW-SM-002","P1","SM","B","1","NOT_RUN","","TBD","","",""
"FW-SM-003","P1","SM","B","1","NOT_RUN","","TBD","","",""
"FW-SM-004","P1","SM","B","1","NOT_RUN","","TBD","","",""
"FW-SM-005","P1","SM","B","1","NOT_RUN","","TBD","","",""
"FW-SM-006","P2","SM","C","1","NOT_RUN","","TBD","","",""
"FW-SM-007","P2","SM","C","1","NOT_RUN","","TBD","","",""
"FW-SM-008","P2","SM","C","1","NOT_RUN","","TBD","","",""
"FW-AUTO-001","P1","AUTO","B","1","NOT_RUN","","TBD","","",""
"FW-AUTO-002","P1","AUTO","B","1","NOT_RUN","","TBD","","",""
"FW-AUTO-003","P1","AUTO","B","1","NOT_RUN","","TBD","","",""
"FW-AUTO-004","P1","AUTO","B","1","NOT_RUN","","TBD","","",""
"FW-AUTO-005","P2","AUTO","C","1","NOT_RUN","","TBD","","",""
"FW-AUTO-006","P1","AUTO","B","1","NOT_RUN","","TBD","","",""
"FW-AUTO-007","P2","AUTO","C","1","NOT_RUN","","TBD","","",""
"FW-AUTO-008","P2","AUTO","C","1","NOT_RUN","","TBD","","",""
"FW-AUTO-009","P2","AUTO","C","1","NOT_RUN","","TBD","","",""
"FW-AUTO-010","P2","AUTO","C","1","NOT_RUN","","TBD","","",""
"FW-AUTO-011","P2","AUTO","C","1","NOT_RUN","","TBD","","",""
"FW-MAN-001","P1","MAN","B","1","NOT_RUN","","TBD","","",""
"FW-MAN-002","P1","MAN","B","1","NOT_RUN","","TBD","","",""
"FW-MAN-003","P1","MAN","B","1","NOT_RUN","","TBD","","",""
"FW-MAN-004","P1","MAN","B","1","NOT_RUN","","TBD","","",""
"FW-MAN-005","P1","MAN","B","1","NOT_RUN","","TBD","","",""
"FW-MAN-006","P2","MAN","C","1","NOT_RUN","","TBD","","",""
"FW-MAN-007","P2","MAN","C","1","NOT_RUN","","TBD","","",""
"FW-COUNT-001","P2","COUNT","C","1","NOT_RUN","","TBD","","",""
"FW-COUNT-002","P2","COUNT","C","1","NOT_RUN","","TBD","","",""
"FW-COUNT-003","P2","COUNT","C","1","NOT_RUN","","TBD","","",""
"FW-COUNT-004","P2","COUNT","C","1","NOT_RUN","","TBD","","",""
